name,flux [Jy/BA],+/-,mass [M_sol x10^6],+/-
HIZSS003,57.817235753107376,0.18396247648856304,38.05417135487451,1.2108049636023298e-06
KK49,18.313760148589164,0.11877050390076842,114.63150203566566,7.434214027711188e-06
AGC174585,16.3967820265473,0.14693579170953602,143.98932517304667,1.2903254710447927e-05
UGC05456,22.51988919153949,0.11904898143170403,166.66879911101609,8.810767496167842e-06
GR8,17.438293824132,0.14805831216357626,18.671327679166254,1.5852727852336326e-06
Pegasus,40.82627580600826,0.11904898143170402,5.565176629709888,1.6227995235288727e-07
UGC02905,7.704572202633132,0.18450169350186574,61.80130445658624,1.479958268022673e-05
UGC00685,20.52178607381761,0.18450169350186577,98.50998269713357,8.856567634553627e-06
UGC02716,2.995869719017821,0.18432212976735227,28.959754391068916,1.7817609267238968e-05
KDG215,11.092072626041878,0.11904898143170402,79.18630647731297,8.498906784409349e-06
DDO187,18.752613486675756,0.11904898143170402,21.41998522902052,1.359825085505496e-06
NGC1156,109.06772045468001,0.11904898143170402,1566.0205065412047,1.7093338471519493e-05
IC3308,27.673082246566143,0.14805831216357626,1070.0140396854658,5.7248582321117594e-05
DDO154,178.43513198879918,0.11877050390076842,687.3138566633387,4.574918189261604e-06
AGC731457,27.452700036572452,0.18450169350186574,548.3687813385361,3.685428707767507e-05
KK17,68.66546784099916,0.14693579170953602,389.08326035552403,8.325910927112467e-06
NGC0784,131.56630192413027,0.14693579170953602,766.9542318586688,8.565493261953862e-06
UGC05209,10.083105372225656,0.11904898143170405,102.40330830970554,1.2090530743720931e-05
NGC4395,598.8319374994081,0.18432212976735227,3003.438947667757,9.244668308307844e-06
Halogas,171.77842079468425,0.14805831216357626,3506.2792850296096,3.0221129668905395e-05
UGC07605,3.2632346217801533,0.14805831216357623,15.113594138437705,6.857285786094361e-06
DDO127,44.98386977036354,0.11877050390076842,503.97298833365926,1.3306353162217294e-05
NGC4244,697.4330862712129,0.1187705039007684,3318.2356999585622,5.65084355622812e-06
DDO183,16.37437642735314,0.11904898143170402,40.067155953650925,2.9130600034204925e-06
DDO099,78.81481061313258,0.14805831216357626,129.63661815563216,2.4353010213944162e-06
DDO043,32.70154364235986,0.18432212976735227,253.39001689223593,1.4282318928474862e-05
UGC00064,38.75117125013538,0.1187705039007684,842.8286744093444,2.5832299549207764e-05
DDO217,118.85078397392215,0.14805831216357626,2639.110182329094,3.287670355587129e-05
NGC4736,125.90071373754373,0.1187705039007684,645.2262512604052,6.086847700637762e-06
DDO052,23.19748191176377,0.18450169350186574,578.5475743015361,4.601491128909945e-05
KK151,9.3288320864568,0.14805831216357626,94.74296192027634,1.5036697950281037e-05
DDO129,45.05291440802355,0.11904898143170402,842.1993586612529,2.225449277332445e-05
NGC4449,1178.6707920232825,0.1843221297673523,4930.247440436367,7.709987510094488e-06
NGC2337,77.80380953188285,0.1187705039007684,1137.2667178604847,1.7360813302401544e-05
NGC3741,122.63518606735211,0.146935791709536,265.7127256247177,3.1836466318503463e-06
CVnHI,12.255759312403798,0.11904898143170402,122.20217610397827,1.1870373938555206e-05
NGC4144,118.82160899444781,0.18450169350186574,1469.8890829040586,2.282388088755602e-05
UGC08215,11.263404653826159,0.11904898143170402,55.030629823617296,5.81648322989205e-06
LVJ0737+4724,4.982356065496811,0.14805831216357626,289.83182339389685,8.612794834187178e-05
UGC02773,55.61567013559603,0.18450169350186577,382.7336941123394,1.2696963742733997e-05
KKH40,10.283952742531715,0.1187705039007684,118.24503672254914,1.3656249641462913e-05
UGC07298,27.90768793589795,0.11904898143170402,116.73472181173713,4.979685082233049e-06
MCG+09-20-131,20.721589459147708,0.11904898143170405,103.02922645668767,5.919200595855029e-06
DDO194,11.455901803769406,0.11904898143170403,173.89617198548402,1.8071176328460266e-05
UGC05497,6.251293397882179,0.11877050390076839,20.196928761613663,3.837284948227585e-06
KDG063,46.26670989811738,0.14805831216357626,133.75705831545733,4.28036580464899e-06
UGC09992,23.80920882817267,0.11904898143170403,299.4350862749839,1.4972123720369397e-05
UGC04483,5.977579316383554,0.18432212976735227,14.536083708011677,4.4822858313124275e-06
LeoIV,25.460107957415957,0.11932680907076154,0.15381978823552425,7.209248496819128e-09
IC779,40.45682411127281,0.11877050390076843,2653.230554546919,7.789181104817539e-05
LVJ1052+3628,141.18683992976275,0.18450169350186577,2820.2127750706077,3.685428707767508e-05
LVJ1052+3639,147.96526500155835,0.11904898143170403,2955.6120870167274,2.3780081660575447e-05
LVJ1342+4840,13.961931691998364,0.14805831216357626,182.39099097706338,1.9341522988099455e-05
UGC06757,6.908495858706323,0.119048981431704,12.151245593343155,2.093933962761138e-06
UGCA086,788.1417207441029,0.18450169350186577,1629.6702701112815,3.815010889174835e-06
SexA,313.31646665989456,0.11393229166666666,128.83773631593527,4.6849687499999993e-07
IC1613,886.7614630263333,0.15674935127163267,111.52302334062898,1.9713488113066115e-07
Orion,129.37246497050145,0.09420440187817564,1274.1451103624627,9.277868985109486e-06
SexB,170.03865705738497,0.09560009866919539,74.22282602202807,4.172997842965634e-07
VCC0381,5.563956995763452,0.08877532645374116,29.12980529997298,4.647785698214556e-06
A0554+07,6.602367251387267,0.09278771363111474,47.13429980765369,6.624114876125281e-06
HIPASSJ0630+08,8.612536403169134,0.10000167421422937,25.615319644941604,2.9742397943121884e-06
UGC03755,17.19456343825334,0.1332251427713615,222.81251085885415,1.7263729129857894e-05
UGC04115,41.47406312861373,0.1082693253226731,584.8541490253874,1.5267798559012642e-05
LVJ1952+1428,3.6420914163144116,0.08802615418613254,43.69602236080005,1.0560945242678201e-05
UGC02684,27.276254570444014,0.10672914264814451,271.1353425512839,1.0609243500559703e-05
LeoP,1.1437078845927493,0.07931961543627083,1.0796602430555553,7.487771697183967e-07
IC3840,7.9985390802432725,0.09171083715482294,57.10157049385672,6.5472366644828086e-06
LGS3,3.219079250759549,0.08338989881152016,0.3209743920932347,8.314806810496676e-08
UGC08638,6.139509644480701,0.08056229603362358,26.418091433657107,3.466566918149434e-06
IC1727,439.78761961067283,0.19412207750450133,5380.467287345678,2.3749360854886702e-05
AGC122226,0.8259262876157408,0.10164384763018225,14.282387813064817,1.757683309556721e-05
IC3341,1.058498247322944,0.09171083715482294,48.961894928170096,4.242176483433489e-05
KK144,18.175081461032867,0.09765624999999997,162.2327763801401,8.716904296874998e-06
DDO068,53.54239780334944,0.12315060181007123,1213.5620048679486,2.7912625762900613e-05
UGC12713,19.26565946468392,0.13147375017418222,676.7301781147587,4.618178502318365e-05
UGC07131,8.367644685972865,0.11422256549168455,557.3574325358796,7.608209744712038e-05
DDO133,67.65600043402777,0.1327271031111661,375.5794317694226,7.368092947720472e-06
UGCA292,31.55266271947065,0.10826932532267311,97.04259957503358,3.3299049519087553e-06
UGC05186,3.807163631790477,0.07546890051672936,61.897018612194856,1.2269764033570068e-05
UGC03476,13.427898716795902,0.1082693253226731,155.72419543304042,1.2556062516961302e-05
UGC05427,0.9220868541181024,0.09025501714200371,11.00076873850304,1.0767690338871712e-05
KK78,17.92191101911001,0.11623418666248127,213.2126741357072,1.3828102225187405e-05
KKH18,6.30532290227289,0.11305699861205894,29.20295421625639,5.236208209265836e-06
UGC08833,9.962632331295287,0.10857474010519474,22.304245622033505,2.4307608583000493e-06
DDO147,27.642421118739467,0.10453477033418887,190.22850795809651,7.193832010950076e-06
DDO126,35.328720540988186,0.07931961543627085,198.55441865850892,4.457919757635447e-06
IC4182,111.22593789575025,0.1371443647977923,579.8475084756411,7.149664883384427e-06
KKH98,4.578533408082562,0.09385223465715167,6.485904640555677,1.3295013709297451e-06
UGC03600,10.097213286985674,0.07634140234087614,124.90811817728846,9.443854095569737e-06
UGC12894,16.771682868627288,0.08097228492078612,283.9588871483372,1.3709298044845755e-05
DDO046,35.45442989977041,0.07590640505443372,392.61207492538654,8.40565516715333e-06
AndIV,53.27209752535271,0.10734786749896581,500.57657029789016,1.0087049288016348e-05
DDO181,25.7528099681713,0.09594585060670242,55.06423592786039,2.051498442553011e-06
UGC12588,16.47534025307701,0.06510416666666666,242.66133250591054,9.589036458333332e-06
KK149,4.822965686596871,0.07278867114257127,90.15839844033981,1.3606793913239247e-05
UGC00288,10.645724757364112,0.07546890051672935,113.79347625962481,8.066964659545442e-06
DDO125,37.88920865556607,0.06459353786778785,67.13185740499658,1.1444641699550417e-06
KK160,19.180443173363095,0.10164384763018224,84.08628798211959,4.456025215992745e-06
NGC5023,89.66055760902033,0.11334951397448012,924.5200995897422,1.1687848786877543e-05
MAPS1249+44,2.847938749355059,0.07278867114257127,41.31186230219656,1.0558638454154755e-05
DDO190,51.5614358128711,0.10857474010519476,91.35622198005584,1.923720296400474e-06
NGC4460,7.677353470413772,0.05082192381509112,166.63290036175712,1.1030630021020084e-05
UGC03817,22.53074022209119,0.08496343187589965,388.7046111521594,1.4658052697750773e-05
DDO120,14.559891568123252,0.07278867114257127,171.2693090821183,8.56219660515e-06
KKH38,11.097410372000342,0.11451210351131416,975.5471559140722,0.00010066488771115339
UGC07639,4.620752119419167,0.06561082151935668,55.593126360325364,7.893759710678542e-06
NGC5229,39.70673365498492,0.08802615418613256,599.7305051248923,1.3295470328273461e-05
UGCA281,18.750601828134485,0.06661257138568075,142.7657022751214,5.071832158453192e-06
UGC06541,9.554924617060909,0.07000590223830262,34.12231365228726,2.500033699294117e-06
UGC03501,6.022419254954267,0.07634140234087612,341.46514933665196,4.3284811713253356e-05
UGC07267,19.06276663596714,0.08802615418613255,748.6474590303449,3.457030027074979e-05
NGC5238,14.699604552469134,0.0906211647596032,70.56197666761186,4.3500547858512595e-06
NGC4068,49.6629910705528,0.0837860525796468,217.7205464684642,3.6731466955264726e-06
KDG192,9.932494639801874,0.08299185406238255,130.10167496396244,1.0870762697029835e-05
NGC3738,41.19263671875,0.08015020997555422,233.41230899765628,4.541599437970814e-06
NGC5585,384.6456618740476,0.1862878115602148,2949.324462811923,1.4283878754315652e-05
NGC5204,233.82505547398927,0.12070635558423928,1198.325724417627,6.186057807367252e-06
IC0010,1148.625674037281,0.22077897080485895,118.08055709211094,2.2696431445092786e-07
MB1,23.510505949341542,0.09697571035004056,49.936314636401434,2.0597640878348615e-06
KK251,45.597044948621814,0.0931439057801074,373.31830936265146,7.626004157165189e-06
DDO087,39.93199110008191,0.12043171050576772,523.052779303622,1.577485598913744e-05
KDG235,2.5299512517285945,0.08418034206370931,67.08661614403707,2.232206763289697e-05
UGC05423,0.7663466540102838,0.07502884486729236,13.720615009902374,1.3433110064156341e-05
HolmII,497.71154634452165,0.10548080563814875,1349.8612033720271,2.860782480879039e-06
KDG052,1.8369818097845436,0.07634140234087612,5.463532928843092,2.270538354282103e-06
HolmI,75.98279567496485,0.11708573054962691,264.41721120952377,4.074538462206486e-06
UGC05086,61.957119418344895,0.3136043110025665,1158.1991292739956,5.862381003985138e-05
NGC4627,606.4987232155428,0.20345052083333331,7627.594802596881,2.5586832682291664e-05
CGCG262-028,9.30526942746075,0.08951822916666666,110.70255711383795,1.0649768880208331e-05
UGC11411,5.247475243943664,0.08457279333832408,27.706692376913626,4.46544720946642e-06
AGC112521,7.645075849593179,0.12043171050576774,76.69887484558483,1.2082256439631156e-05
KK13,2.067528164814359,0.0909858389282141,25.29463577509842,1.1131425900491141e-05
KK16,0.31265182983089684,0.12893049737756232,2.207738495904198,9.104210984802957e-06
UGC07827,5.481310191663212,0.09455525747576701,93.46182007804943,1.612261695219303e-05
KK14,11.441826627001351,0.06355997457606326,139.98205299312502,7.776079833574562e-06
KK15,6.554121705544473,0.05519474270121474,80.1846979348404,6.752657289449094e-06
NGC4163,19.16390107734018,0.07094562082585731,39.09224250309503,1.4472123408820971e-06
NGC7640,608.6062843666836,0.17586411771626223,8964.015896928635,2.590260382454574e-05
UGC07690,36.77429724138708,0.10033225916290649,1088.6604116464644,2.9702201470972173e-05
NGC4242,40.96026114004629,0.09243014885742631,603.2938558690682,1.3613814792853064e-05
DDO168,135.629212706766,0.1351989561021822,600.1240568838208,5.98220283103152e-06
DDO167,2.8247746107313367,0.06144070992245076,11.703718028256661,2.5456358240281094e-06
NGC5474,201.2458040898898,0.07502884486729237,2462.089466228693,9.179208950292229e-06
HolmIV,34.640388207791304,0.06953128047947207,424.97685949330395,8.5302696486721e-06
