name,ra,dec,distance,radial_velocity,h1_21_cm_mag,h1_21_cm_50pc_width,flux [Jy km/s BA^-1],uncert
HIZSS003,105.1221,-4.2083, 1.67, 298, 13.83, 70,57.817235753107376,0.18396247648856304,
KK49,85.4229,6.6817, 5.15, 455, 15.06, 55,18.313760148589164,0.11877050390076842,
AGC174585,114.0429,9.9864, 6.10, 356, 18.05, 21,16.3967820265473,0.14693579170953602,
UGC05456,151.8321,10.3622, 5.60, 527, 15.30, 62,22.51988919153949,0.11904898143170403,
GR8,194.6683,14.2175, 2.13, 217, 15.24, 26,17.438293824132,0.14805831216357626,
Pegasus,352.1421,14.7467, 0.76,-184, 13.90, 23,40.82627580600826,0.11904898143170402,
UGC02905,59.2525,16.5244, 5.83, 292, 15.76, 41,7.704572202633132,0.18450169350186574,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC02716,51.03,17.7542, 6.40, 381, 15.67, 44,2.995869719017821,0.18432212976735227,
KDG215,193.9187,19.2092, 5.50, 419, 15.79, 25,11.092072626041878,0.11904898143170402,
DDO187,213.9854,23.0553, 2.20, 160, 14.89, 31,18.752613486675756,0.11904898143170402,
NGC1156,44.9267,25.2375, 7.80, 373, 13.23, 68,109.06772045468001,0.11904898143170402,
IC3308,186.3246,26.7147,12.8, 316, 14.94,125,27.673082246566143,0.14805831216357626,
DDO154,193.5217,27.1486, 4.04, 374, 13.16, 80,178.43513198879918,0.11877050390076842,
AGC731457,157.9825,28.0258, 9.20, 454, 17.92, 36,27.452700036572452,0.18450169350186574,
KK17,30.0413,28.8325, 4.90, 168, 17.44, 20,68.66546784099916,0.14693579170953602,
NGC0784,30.32,28.8436, 4.97, 193, 13.16, 88,131.56630192413027,0.14693579170953602,
UGC05209,146.2675,32.2383, 6.56, 535, 17.05, 32,10.083105372225656,0.11904898143170405,
NGC4395,186.4575,33.5461, 4.61, 313, 11.53, 98,598.8319374994081,0.18432212976735227,
Halogas,36.8333,33.9583, 9.30, 528, 17.87, 28,171.77842079468425,0.14805831216357626,
UGC07605,187.1625,35.7181, 4.43, 310, 15.77, 26,3.2632346217801533,0.14805831216357623,
DDO127,187.1188,37.2333, 6.89, 275, 15.03, 54,44.98386977036354,0.11877050390076842,
NGC4244,184.3746,37.8075, 4.49, 247, 11.02,170,697.4330862712129,0.1187705039007684,
DDO183,207.7129,38.0211, 3.22, 188, 15.10, 29,16.37437642735314,0.11904898143170402,
DDO099,177.7208,38.8806, 2.64, 251, 13.58, 34,78.81481061313258,0.14805831216357626,
DDO043,112.0717,40.7703, 5.73, 353, 14.99, 36,32.70154364235986,0.18432212976735227,
UGC00064,1.9333,40.8756, 9.60, 305, 14.30, 60,38.75117125013538,0.1187705039007684,
DDO217,352.4946,40.9903, 9.70, 424, 13.23,117,118.85078397392215,0.14805831216357626,
NGC4736,192.7229,41.1194, 4.66, 308, 13.36,207,125.90071373754373,0.1187705039007684,
DDO052,127.1188,41.8567,10.28, 396, 15.09, 83,23.19748191176377,0.18450169350186574,
KK151,187.5992,42.9014, 6.56, 436, 16.66, 34,9.3288320864568,0.14805831216357626,
DDO129,187.1842,43.2242, 8.90, 538, 14.11, 43,45.05291440802355,0.11904898143170402,
NGC4449,187.0467,44.0944, 4.21, 201, 12.35, 98,1178.6707920232825,0.1843221297673523,
NGC2337,107.5567,44.4569, 7.87, 433, 13.80,147,77.80380953188285,0.1187705039007684,
NGC3741,174.0267,45.2853, 3.03, 229, 13.55, 83,122.63518606735211,0.146935791709536,
CVnHI,185.1808,46.2092, 6.50, 420, 18.80, 20,12.255759312403798,0.11904898143170402,
NGC4144,182.4971,46.4572, 7.24, 265, 13.24,153,118.82160899444781,0.18450169350186574,
UGC08215,197.015,46.8281, 4.55, 224, 15.94, 25,11.263404653826159,0.11904898143170402,
LVJ0737+4724,114.3688,47.4092,15.7, 404, 17.40, 39,4.982356065496811,0.14805831216357626,
UGC02773,53.0296,47.7936, 5.40, 216, 13.93, 81,55.61567013559603,0.18450169350186577,
KKH40,116.735,51.2961, 6.98, 445, 16.36, 27,10.283952742531715,0.1187705039007684,
UGC07298,184.1192,52.2272, 4.21, 174, 15.76, 21,27.90768793589795,0.11904898143170402,
MCG+09-20-131,183.9446,52.3875, 4.59, 159, 15.72, 27,20.721589459147708,0.11904898143170405,
DDO194,218.8525,57.2567, 8.02, 218, 15.08, 86,11.455901803769406,0.11904898143170403,
UGC05497,153.2017,64.1075, 3.70, 150, 18.63, 16,6.251293397882179,0.11877050390076839,
KDG063,151.2804,66.555, 3.50,-129, 16.27, 19,46.26670989811738,0.14805831216357626,
UGC09992,235.4492,67.2542, 7.30, 423, 15.10, 49,23.80920882817267,0.11904898143170403,
UGC04483,129.2625,69.7753, 3.21, 156, 14.57, 33,5.977579316383554,0.18432212976735227,
LeoIV,173.2375,-0.5333, 0.16, 132, 19.88,,25.460107957415957,0.11932680907076154,
IC779,184.9112,29.8833,16.67, 213,,,40.45682411127281,0.11877050390076843,
LVJ1052+3628,163.0229,36.4767, 9.20, 476,,,141.18683992976275,0.18450169350186577,
LVJ1052+3639,163.17,36.665, 9.20, 511,,,147.96526500155835,0.11904898143170403,
LVJ1342+4840,205.5838,48.6825, 7.44, 438,,,13.961931691998364,0.14805831216357626,
UGC06757,176.7463,61.335, 2.73,  82,,,6.908495858706323,0.119048981431704,
UGCA086,59.9562,67.1253, 2.96,  72,,,788.1417207441029,0.18450169350186577,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
IC1613,16.1992,2.1333, 0.73,-232, 10.71, 27,886.7614630263333,0.15674935127163267,,
Orion,86.2583,5.0683, 6.46, 368, 12.54,118,129.37246497050145,0.09420440187817564,,
SexB,150.0004,5.3322, 1.36, 300, 12.33, 38,170.03865705738497,0.09560009866919539,,
VCC0381,184.9754,6.6658, 4.71, 480, 16.34, 23,5.563956995763452,0.08877532645374116,,
A0554+07,89.4029,7.4919, 5.50, 428, 16.28, 50,6.602367251387267,0.09278771363111474,,
HIPASSJ0630+08,97.5375,8.3769, 3.55, 367, 15.68, 33,8.612536403169134,0.10000167421422937,,
UGC03755,108.4658,10.5219, 7.41, 311, 14.56, 34,17.19456343825334,0.1332251427713615,,
UGC04115,119.2575,14.3908, 7.73, 343, 14.43, 78,41.47406312861373,0.1082693253226731,,
LVJ1952+1428,298.0492,14.4733, 7.13, 279, 17.47, 28,3.6420914163144116,0.08802615418613254,,
UGC02684,50.0988,17.295, 6.49, 350, 15.10, 79,27.276254570444014,0.10672914264814451,,
LeoP,155.4379,18.0881, 2.00, 262, 17.70, 16,1.1437078845927493,0.07931961543627083,,
IC3840,192.9421,21.7353, 5.50, 557, 16.51, 33,7.9985390802432725,0.09171083715482294,,
LGS3,15.9792,21.885, 0.65,-286, 17.35, 18,3.219079250759549,0.08338989881152016,,
UGC08638,204.8308,24.7758, 4.27, 276, 16.29, 31,6.139509644480701,0.08056229603362358,,
IC1727,26.8754,27.3311, 7.20, 336, 12.94,129,439.78761961067283,0.19412207750450133,,
AGC122226,41.6621,27.7264, 8.56, 472, 16.62, 29,0.8259262876157408,0.10164384763018225,,
IC3341,186.5975,27.7456,14, 372, 16.75, 65,1.058498247322944,0.09171083715482294,,
KK144,186.3663,28.4825, 6.15, 480, 15.12, 38,18.175081461032867,0.09765624999999997,,
DDO068,149.1904,28.825, 9.80, 503, 13.97, 74,53.54239780334944,0.12315060181007123,,
UGC12713,354.5604,30.7092,12.2, 295, 15.21, 95,19.26565946468392,0.13147375017418222,,
UGC07131,182.2992,30.9067,16.8, 253, 15.47,117,8.367644685972865,0.11422256549168455,,
DDO133,188.2208,31.5392, 4.85, 330, 13.77, 45,67.65600043402777,0.1327271031111661,,
UGCA292,189.6667,32.7667, 3.61, 308, 15.03, 27,31.55266271947065,0.10826932532267311,,
UGC05186,145.7492,33.2644, 8.30, 546, 16.97, 34,3.807163631790477,0.07546890051672936,,
UGC03476,97.6217,33.3019, 7.01, 469, 14.68, 83,13.427898716795902,0.1082693253226731,,
UGC05427,151.1708,29.3664, 7.11, 498, 16.42, 71,0.9220868541181024,0.09025501714200371,,
KK78,147.5817,31.4567, 7.10, 539, 16.70, 20,17.92191101911001,0.11623418666248127,,
KKH18,45.7746,33.6944, 4.43, 216, 16.39, 34,6.30532290227289,0.11305699861205894,,
UGC08833,208.7029,35.8375, 3.08, 221, 15.77, 28,9.962632331295287,0.10857474010519474,,
DDO147,191.7492,36.4764, 5.40, 331, 14.55, 30,27.642421118739467,0.10453477033418887,,
DDO126,186.7713,37.1425, 4.88, 217, 14.23, 50,35.328720540988186,0.07931961543627085,,
IC4182,196.4554,37.6058, 4.70, 321, 13.30, 35,111.22593789575025,0.1371443647977923,,
KKH98,356.3917,38.7178, 2.45,-132, 16.66, 21,4.578533408082562,0.09385223465715167,,
UGC03600,103.9167,39.095, 7.24, 398, 15.69, 82,10.097213286985674,0.07634140234087614,,
UGC12894,0.0938,39.4956, 8.47, 335, 15.66, 34,16.771682868627288,0.08097228492078612,,
DDO046,115.3575,40.1125, 6.85, 364, 14.46, 74,35.45442989977041,0.07590640505443372,,
AndIV,10.6254,40.5758, 6.31, 237, 14.02, 90,53.27209752535271,0.10734786749896581,,
DDO181,204.9742,40.7392, 3.01, 214, 14.90, 39,25.7528099681713,0.09594585060670242,,
UGC12588,351.1767,41.3481, 7.90, 425, 14.91, 90,16.47534025307701,0.06510416666666666,,
KK149,187.2179,42.1778, 8.90, 407, 16.15, 54,4.822965686596871,0.07278867114257127,,
UGC00288,7.2667,43.4317, 6.73, 187, 15.78, 36,10.645724757364112,0.07546890051672935,,
DDO125,186.9242,43.4939, 2.74, 206, 14.31, 27,37.88920865556607,0.06459353786778785,,
KK160,190.9892,43.6614, 4.31, 293, 17.52, 22,19.180443173363095,0.10164384763018224,,
NGC5023,198.0496,44.0386, 6.61, 407, 13.30,178,89.66055760902033,0.11334951397448012,,
MAPS1249+44,192.3792,44.3592, 7.84, 513, 17.59, 36,2.847938749355059,0.07278867114257127,,
DDO190,216.1813,44.5258, 2.74, 150, 14.28, 45,51.5614358128711,0.10857474010519476,,
NGC4460,187.1908,44.8644, 9.59, 499, 15.54, 90,7.677353470413772,0.05082192381509112,,
UGC03817,110.6854,45.1083, 8.55, 437, 15.06, 35,22.53074022209119,0.08496343187589965,,
DDO120,185.3125,45.8114, 7.06, 463, 15.05, 37,14.559891568123252,0.07278867114257127,,
KKH38,101.9788,47.5139,19.3, 451, 15.41, 58,11.097410372000342,0.11451210351131416,,
UGC07639,187.4708,47.53, 7.14, 385, 16.05, 39,4.620752119419167,0.06561082151935668,,
NGC5229,203.5121,47.9153, 8.00, 359, 14.16,126,39.70673365498492,0.08802615418613256,,
UGCA281,186.5667,48.4919, 5.68, 279, 15.19, 47,18.750601828134485,0.06661257138568075,,
UGC06541,173.3713,49.2381, 3.89, 249, 16.35, 26,9.554924617060909,0.07000590223830262,,
UGC03501,99.66,49.2583,15.5, 451, 16.00, 60,6.022419254954267,0.07634140234087612,,
UGC07267,183.8483,51.35,12.9, 473, 14.93,117,19.06276663596714,0.08802615418613255,,
NGC5238,203.6779,51.6139, 4.51, 229, 15.54, 40,14.699604552469134,0.0906211647596032,,
NGC4068,181.01,52.5886, 4.31, 210, 13.85, 54,49.6629910705528,0.0837860525796468,,
KDG192,190.9375,53.9589, 7.45, 443, 15.48, 69,9.932494639801874,0.08299185406238255,,
NGC3738,173.9525,54.5228, 4.90, 225, 14.29, 78,41.19263671875,0.08015020997555422,,
NGC5585,214.9512,56.7303, 5.70, 303, 12.56,145,384.6456618740476,0.1862878115602148,,
NGC5204,202.4017,58.4178, 4.66, 201, 12.66,115,233.82505547398927,0.12070635558423928,,
IC0010,5.1021,59.2917, 0.66,-346,  9.94, 62,1148.625674037281,0.22077897080485895,,
MB1,38.8983,59.3797, 3.00, 190, 15.05, 50,23.510505949341542,0.09697571035004056,,
KK251,307.6333,60.3536, 5.89, 130, 14.56, 52,45.597044948621814,0.0931439057801074,,
DDO087,162.4021,65.5306, 7.45, 340, 14.60, 66,39.93199110008191,0.12043171050576772,,
KDG235,255.1054,70.29,10.6, 443, 16.28, 29,2.5299512517285945,0.08418034206370931,,
UGC05423,151.3775,70.3644, 8.71, 348, 15.92, 44,0.7663466540102838,0.07502884486729236,,
HolmII,124.7667,70.7142, 3.39, 157, 11.95, 64,497.71154634452165,0.10548080563814875,,
KDG052,125.9833,71.0294, 3.55, 116, 15.94, 21,1.8369818097845436,0.07634140234087612,,
HolmI,145.1346,71.1864, 3.84, 139, 13.72, 29,75.98279567496485,0.11708573054962691,,
UGC05086,143.2038,21.465, 8.90, 491,,,61.957119418344895,0.3136043110025665,,
NGC4627,190.4988,32.5736, 7.30, 542,,,606.4987232155428,0.20345052083333331,,
CGCG262-028,116.8838,51.1914, 7.10, 454,,,9.30526942746075,0.08951822916666666,,
UGC11411,287.1762,70.2839, 4.73,  69,,,5.247475243943664,0.08457279333832408,,
AGC112521,25.2829,27.3239, 6.52, 274, 17.88, 26,7.645075849593179,0.12043171050576774
KK13,25.57,26.3678, 7.20, 357, 17.12, 31,2.067528164814359,0.0909858389282141
KK16,28.8358,27.9542, 5.47, 207, 17.42, 24,0.31265182983089684,0.12893049737756232
UGC07827,189.9121,44.8208, 8.50, 553, 15.26, 44,5.481310191663212,0.09455525747576701
KK14,26.1779,27.2878, 7.20, 420, 16.22, 28,11.441826627001351,0.06355997457606326
KK15,26.6733,26.8014, 7.20, 366, 17.50, 22,6.554121705544473,0.05519474270121474
NGC4163,183.0371,36.1694, 2.94, 162, 15.28, 32,19.16390107734018,0.07094562082585731
NGC7640,350.5275,40.8456, 7.90, 369, 11.55,238,608.6062843666836,0.17586411771626223
UGC07690,188.1121,42.7042,11.2, 536, 14.48, 71,36.77429724138708,0.10033225916290649
NGC4242,184.3758,45.6194, 7.90, 517, 13.58,108,40.96026114004629,0.09243014885742631
DDO168,198.6192,45.9194, 4.33, 191, 13.14, 59,135.629212706766,0.1351989561021822
DDO167,198.345,46.3197, 4.19, 150, 15.96, 19,2.8247746107313367,0.06144070992245076
NGC5474,211.2587,53.6631, 7.20, 288, 12.52, 39,201.2458040898898,0.07502884486729237
HolmIV,208.6879,53.9047, 7.21, 140, 14.24, 78,34.640388207791304,0.06953128047947207
