name,ra,dec,distance,radial_velocity,h1_21_cm_mag,h1_21_cm_50pc_width,flux [Jy km/s BA^-1],uncert
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
KK17,30.0413,28.8325, 4.90, 168, 17.44, 20,68.66546784099916,0.14693579170953602,
KK17,30.0413,28.8325, 4.90, 168, 17.44, 20,68.66546784099916,0.14693579170953602,
KK17,30.0413,28.8325, 4.90, 168, 17.44, 20,68.66546784099916,0.14693579170953602,
KK17,30.0413,28.8325, 4.90, 168, 17.44, 20,68.66546784099916,0.14693579170953602,
KK17,30.0413,28.8325, 4.90, 168, 17.44, 20,68.66546784099916,0.14693579170953602,
KK17,30.0413,28.8325, 4.90, 168, 17.44, 20,68.66546784099916,0.14693579170953602,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
KK17,30.0413,28.8325, 4.90, 168, 17.44, 20,68.66546784099916,0.14693579170953602,
KK17,30.0413,28.8325, 4.90, 168, 17.44, 20,68.66546784099916,0.14693579170953602,
KK17,30.0413,28.8325, 4.90, 168, 17.44, 20,68.66546784099916,0.14693579170953602,
KK17,30.0413,28.8325, 4.90, 168, 17.44, 20,68.66546784099916,0.14693579170953602,
KK17,30.0413,28.8325, 4.90, 168, 17.44, 20,68.66546784099916,0.14693579170953602,
KK17,30.0413,28.8325, 4.90, 168, 17.44, 20,68.66546784099916,0.14693579170953602,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,0.18450169350186577,
KK17,30.0413,28.8325, 4.90, 168, 17.44, 20,68.66546784099916,0.14693579170953602,
KK17,30.0413,28.8325, 4.90, 168, 17.44, 20,68.66546784099916,0.14693579170953602,
KK17,30.0413,28.8325, 4.90, 168, 17.44, 20,68.66546784099916,0.14693579170953602,
KK17,30.0413,28.8325, 4.90, 168, 17.44, 20,68.66546784099916,0.14693579170953602,
KK17,30.0413,28.8325, 4.90, 168, 17.44, 20,68.66546784099916,0.14693579170953602,
KK17,30.0413,28.8325, 4.90, 168, 17.44, 20,68.66546784099916,0.14693579170953602,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
SexA,152.7533,-4.6928, 1.32, 324, 11.88, 46,313.31646665989456,0.11393229166666666,close to edge of FOV,
